commodity,sector,fuel,measure,chp,note
INDCOA,IND,Solid fuels,input,,
INDCOK,IND,Solid fuels,input,,
INDCOL,IND,Solid fuels,input,,
INDBFG,IND,Derived gas,input,,
INDBFT,IND,Derived gas,input,,
INDCOG,IND,Derived gas,input,,
INDGASCOG,IND,Derived gas,input,,
INDIIS,IND,Derived gas,input,,
INDRFG,IND,Derived gas,input,,
INDCPS,IND,Wood,input,,
INDPEL,IND,Wood,input,,
INDELC,IND,Electricity,input,,
INDGAS,IND,Natural Gas Transport,input,,High-pressure gas-transport network supply (TIMES keeps it apart from the mixed grid gas)
INDGMX,IND,Gas mix,input,,
INDGEO,IND,Geothermal,input,,
INDHET,IND,Heat,input,zero,
INDHFO,IND,Oil products,input,,
INDLFO,IND,Oil products,input,,
INDHH2,IND,Hydrogen,input,,
INDLPG,IND,LPG,input,,
INDSLU,IND,Waste Renewable,input,,
INDSOL,IND,Solar,input,,
INDWST,IND,Waste,input,,

# --- Residential -------------------------------------------------------------
RSDAHT,RSD,,exclude,,Ambient heat harvested by heat pumps is not final energy
RSDGHT,RSD,,exclude,,Ground heat harvested by heat pumps is not final energy
RSDBDL,RSD,Biofuel,input,,
RSDGZH,RSD,Biogas,input,,
RSDCOA,RSD,Solid fuels,input,,
RSDCPS,RSD,Wood,input,,
RSDLOG,RSD,Wood,input,,
RSDPEL,RSD,Wood,input,,
RSDELC,RSD,Electricity,input,,
RSDGAS,RSD,Natural Gas,input,,
RSDGEO,RSD,Geothermal,input,,
RSDGMX,RSD,Gas mix,input,,
RSDGSL,RSD,Oil products,input,,
RSDOIL,RSD,Oil products,input,,
RSDHET,RSD,Heat,input,zero,
RSDHH2,RSD,Hydrogen,input,,
RSDLPG,RSD,LPG,input,,
RSDSOL,RSD,Solar,input,,

# --- Transport ---------------------------------------------------------------
TRADST,TRA,,passthrough,,Blended road diesel: split into Oil products / Biofuel by TRADST00's input mix
TRAGSL,TRA,,passthrough,,Blended road gasoline: split into Oil products / Biofuel by TRAGSL00's input mix
TRAETH,TRA,,passthrough,,Ethanol blend: split by TRAETH00's input mix
TRABDL,TRA,Biofuel,input,,Only reached when a vehicle burns pure biodiesel; the blended share arrives via TRADST
TRABGS,TRA,Biogas,input,,
TRAELC,TRA,Electricity,input,,
TRAGAS,TRA,Natural Gas,output,,Produced by TRAGAS00 but never consumed in the .vd so VAR_FIn is zero
TRAGMX,TRA,Gas mix,input,,
TRAGH2,TRA,Hydrogen,input,,
TRALH2,TRA,Hydrogen,input,,
TRAHFO,TRA,Oil products,input,,
TRALPG,TRA,LPG,input,,
TRAKER,TRA,Kerosene,input,,Aviation bunkers; reported but excluded from the sector total (see total_excludes in indicators.py)

# --- Upstream carriers, only ever reached through a passthrough ---------------
OILDST,SUP,Oil products,upstream,,
OILGSL,SUP,Oil products,upstream,,
OILKER,SUP,Kerosene,upstream,,
OILLPG,SUP,LPG,upstream,,
OILHFO,SUP,Oil products,upstream,,
BIODST,SUP,Biofuel,upstream,,
BIOETH,SUP,Biofuel,upstream,,
BIORME,SUP,Biofuel,upstream,,
BIOGAS,SUP,Biogas,upstream,,
GASNAT,SUP,Natural Gas,upstream,,
SUPGMX,SUP,Gas mix,upstream,,
ELCHIG,SUP,Electricity,upstream,,
ELCHIGG,SUP,Electricity,upstream,,
ELCMED,SUP,Electricity,upstream,,
ELCLOW,SUP,Electricity,upstream,,
SYNH2CT,SUP,Hydrogen,upstream,,

# --- Electricity-sector carriers burnt by a cogeneration unit whose heat is ---
# --- attributed to a demand sector (see heat_to_sector in indicator_power.csv) -
ELCGAS,ELC,Gas mix,chp_fuel,,Commercial gas CHP; the heat share lands in the tertiary gas row
ELCBGS,ELC,Biogas,chp_fuel,,
ELCBIO,ELC,Biogas,chp_fuel,,Carrier of the *_BGS_* biogas engines despite the "Biomass (ELC)" description
ELCCPS,ELC,Wood,chp_fuel,,
ELCPEL,ELC,Wood,chp_fuel,,
ELCOIL,ELC,Oil products,chp_fuel,,
ELCSLU,ELC,Waste Renewable,chp_fuel,,
ELCWST,ELC,Waste,chp_fuel,,
