Scenario;Region;Sector;Set;Name;Description;Unit;Type;Sub type;Lim type;Time slice level;Peak time slice
BASE;RW;COM;.NRG.;CCSA;Commercial space cooling Santé Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CHBA;Commercial space heat Bureaux: Administration Existing;PJ;NRG;;;;
BASE;RW;IND;.MAT.;MCOWIM;lait : vache;Mt;MAT;;;;
BASE;RW;RSD;.NRG.;RHDJAP_2021;RHDJAP_2021;;NRG;;;;
BASE;RW;COM;.NRG.;CHBP;Commercial space heat Bureaux: transport et communication, banques etc Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CHCO;Commercial space heat Commerce Existing;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;OILFDS;Feedstocks;PJ;NRG;;;;
BASE;RW;SUP;.ENV.;TOTCO2N;Total CO2 Emissions;kt;ENV;;;;
BASE;RW;COM;.NRG.;CHCS;Commercial space heat Culture sports et divers Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CHDATA;Commercial space heat Data Center Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CHEN;Commercial space heat Enseignment Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CHNBA;Commercial space heat Bureaux: Administration new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CHNBP;Commercial space heat Bureaux: transport et communication, banques etc new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CHNCO;Commercial space heat Commerce new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CHNCS;Commercial space heat Culture sports et divers new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CHNDATA;Commercial space heat Data Center new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CHNEN;Commercial space heat Enseignment new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CHNSA;Commercial space heat Santé new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CHSA;Commercial space heat Santé Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CLIGBA;Commercial Ligthing Existing Bureaux: Administration Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CLIGBP;Commercial Ligthing Existing Bureaux: transport et communication, banques etc Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CLIGCO;Commercial Lighting Existing Commerce Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CLIGCS;Commercial Ligthing Existing Culture sports et divers Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CLIGDATA;Commercial Ligthing Existing Data Center Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CLIGEN;Commercial Ligthing Existing Enseignment Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CLIGNBA;Commercial Ligthing new Bureaux: Administration new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CLIGNBP;Commercial Ligthing new Bureaux: transport et communication, banques etc new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CLIGNCO;Commercial Lighting new Commerce new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CLIGNCS;Commercial Ligthing new Culture sports et divers new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CLIGNDATA;Commercial Ligthing new Data Center new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CLIGNEN;Commercial Ligthing new Enseignment new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CLIGNSA;Commercial Ligthing new Santé new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CLIGSA;Commercial Ligthing Existing Santé Existing;PJ;NRG;;;;
BASE;RW;COM;.DEM.;CNBATBA;Commercial Building new Admnistration;Mm2;DEM;;;;
BASE;RW;COM;.DEM.;CNBATBP;Commercial Building new Bureaux prives;Mm2;DEM;;;;
BASE;RW;COM;.DEM.;CNBATCO;Commercial Building new Commerce;Mm2;DEM;;;;
BASE;RW;COM;.DEM.;CNBATCS;Commercial Building new Culture sprort et divers;Mm2;DEM;;;;
BASE;RW;COM;.DEM.;CNBATDATA;Commercial Building new Data center;Mm2;DEM;;;;
BASE;RW;COM;.DEM.;CNBATEN;Commercial Building new Enseignement;Mm2;DEM;;;;
BASE;RW;COM;.DEM.;CNBATSA;Commercial Building new Santé;Mm2;DEM;;;;
BASE;RW;COM;.DEM.;COEL;Commercial Other Electric Existing;PJ;DEM;;;;
BASE;RW;COM;.DEM.;COEN;Commercial Other Energy Existing;Mm2;DEM;;;;
BASE;RW;COM;.NRG.;COMBDL;Biodiesel (COM);PJ;NRG;;;;
BASE;RW;COM;.NRG.;COMBGS;Biogas (COM);PJ;NRG;;;;
BASE;RW;COM;.ENV.;COMCH4;CH4 (COM);kt;ENV;;;;
BASE;RW;COM;.ENV.;COMCO2b;CO2 biomasse (COM);kt;ENV;;;;
BASE;RW;COM;.ENV.;COMCO2N;Carbon Dioxide - Combustion (COM);kt;ENV;;;;
BASE;RW;COM;.NRG.;COMCOA;Coal (COM);PJ;NRG;;;;
BASE;RW;COM;.NRG.;COMCOO;Cooling agent (COM);PJ;NRG;;;;
BASE;RW;COM;.ENV.;COMCOV;COV polluant (COM);kt;ENV;;;;
BASE;RW;COM;.NRG.;COMCPS;Chips wood (COM);PJ;NRG;;;;
BASE;RW;COM;.NRG.;COMELC;Electricity (COM);PJ;NRG;ELC;;DAYNITE;
BASE;RW;COM;.NRG.;COMGAS;Natural Gas (COM);PJ;NRG;;;;
BASE;RW;COM;.NRG.;COMGEO;Geothermal (COM);PJ;NRG;;;;
BASE;RW;COM;.ENV.;COMGHG;GES total (COM);kt;ENV;;;;
BASE;RW;COM;.ENV.;COMGHGb;GES biomasse total (COM);kt;ENV;;;;
BASE;RW;COM;.NRG.;COMGMX;gas mixed reseau (COM);PJ;NRG;;;;
BASE;RW;COM;.NRG.;COMGSL;Gasoline (COM);PJ;NRG;;;;
BASE;RW;COM;.NRG.;COMGZH;Biogaz (COM) enrichi;PJ;NRG;;;;
BASE;RW;COM;.NRG.;COMHET;Low Temperature Heat (COM);PJ;NRG;;;;
BASE;RW;COM;.NRG.;COMHH2;Hydrogen gasuous (COM);PJ;NRG;;;;
BASE;RW;COM;.NRG.;COMLPG;Liquified Petroleum Gas (COM);PJ;NRG;;;;
BASE;RW;COM;.ENV.;COMN2O;N2O (COM);kt;ENV;;;;
BASE;RW;COM;.ENV.;COMNH3;NH3 polluant (COM);kt;ENV;;;;
BASE;RW;COM;.ENV.;COMNOX;NOX polluant (COM);kt;ENV;;;;
BASE;RW;COM;.NRG.;COMOIL;Oil (COM);PJ;NRG;;;;
BASE;RW;COM;.NRG.;COMPEL;Pellets wood (COM);PJ;NRG;;;;
BASE;RW;COM;.ENV.;COMPM2;PM2 polluant (COM);kt;ENV;;;;
BASE;RW;COM;.NRG.;COMSLU;Waste (COM);PJ;NRG;;;;
BASE;RW;COM;.NRG.;COMSOL;Solar (COM);PJ;NRG;;;;
BASE;RW;COM;.ENV.;COMSOX;SOX polluant (COM);kt;ENV;;;;
BASE;RW;COM;.NRG.;COOFRE;Free cooling source (COM);PJ;NRG;;;;
BASE;RW;COM;.DEM.;COSE;Commercial Serveur DATA CENTER Existing;PJ;DEM;;;;
BASE;RW;COM;.DEM.;CPLI;Commercial Public Lighting Existing;PJ;DEM;;;;
BASE;RW;COM;.DEM.;CREF;Commercial Refrigeration Existing;PJ;DEM;;;;
BASE;RW;COM;.NRG.;CWBA;Commercial water heating Bureaux: Administration Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CWBP;Commercial water heating Bureaux: transport et communication, banques etc Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CWCO;Commercial water heating Commerce Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CWCS;Commercial water heating Culture sports et divers Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CWDATA;Commercial water heating Data Center Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CWEN;Commercial water heating Enseignment Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CWNBA;Commercial water heating Bureaux: Administration new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CWNBP;Commercial water heating Bureaux: transport et communication, banques etc new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CWNCO;Commercial water heating Commerce new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CWNCS;Commercial water heating Culture sports et divers new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CWNDATA;Commercial water heating Data Center new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CWNEN;Commercial water heating Enseignment new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CWNSA;Commercial water heating Santé new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CWSA;Commercial water heating Santé Existing;PJ;NRG;;;;
BASE;RW;ELC;.NRG.;ELCBGS;Biogas (ELC);PJ;NRG;;;;
BASE;RW;ELC;.NRG.;ELCBIO;Biomass (ELC);PJ;NRG;;;;
BASE;RW;ELC;.ENV.;ELCCH4;CH4 (ELC);kt;ENV;;;;
BASE;RW;ELC;.ENV.;ELCCO2b;CO2 biomasse (ELC);kt;ENV;;;;
BASE;RW;ELC;.ENV.;ELCCO2c;ELCCO2c;kt;ENV;;;;
BASE;RW;ELC;.ENV.;ELCCO2N;Carbon Dioxide - Combustion (ELC);kt;ENV;;;;
BASE;RW;ELC;.NRG.;ELCCOH;Hard Coal (ELC);PJ;NRG;;;;
BASE;RW;ELC;.NRG.;ELCCOL;Lignite (ELC);PJ;NRG;;;;
BASE;RW;ELC;.ENV.;ELCCOV;COV polluant (ELC);kt;ENV;;;;
BASE;RW;ELC;.NRG.;ELCCPS;Wood Chips (ELC);PJ;NRG;;;;
BASE;RW;ELC;.NRG.;ELCDGS;Derived Gas (ELC);PJ;NRG;;;;
BASE;RW;ELC;.NRG.;ELCDST;Diesel (ELC);PJ;NRG;;;;
BASE;RW;ELC;.NRG.;ELCGAS;Natural Gas (ELC);PJ;NRG;;;;
BASE;RW;ELC;.NRG.;ELCGEO;Geothermal (ELC);PJ;NRG;;;;
BASE;RW;ELC;.ENV.;ELCGHG;GES total (ELC);kt;ENV;;;;
BASE;RW;ELC;.ENV.;ELCGHGb;GES biomasse total (ELC);kt;ENV;;;;
BASE;RW;ELC;.NRG.;ELCHET;Electricity - Heat;PJ;NRG;;;;
BASE;RW;ELC;.NRG.;ELCHFO;Heavy Fuel Oil (ELC);PJ;NRG;;;;
BASE;RW;ELC;.NRG.;ELCHIG;Electricity - High Voltage WITHOUT grid costs;PJ;NRG;ELC;;DAYNITE;
BASE;RW;ELC;.NRG.;ELCHIGG;Electricity - High Voltage;PJ;NRG;ELC;;DAYNITE;
BASE;RW;ELC;.NRG.;ELCHYD;Hydro (ELC);PJ;NRG;;;;
BASE;RW;ELC;.NRG.;ELCLOW;Electricity - Low Voltage;PJ;NRG;ELC;;DAYNITE;
BASE;RW;ELC;.NRG.;ELCMED;Electricity - Medium Voltage;PJ;NRG;ELC;;DAYNITE;
BASE;RW;ELC;.ENV.;ELCN2O;N2O (ELC);kt;ENV;;;;
BASE;RW;ELC;.ENV.;ELCNH3;NH3 polluant (ELC);kt;ENV;;;;
BASE;RW;ELC;.ENV.;ELCNOX;NOX polluant (ELC);kt;ENV;;;;
BASE;RW;ELC;.NRG.;ELCNUC;Nuclear (ELC);PJ;NRG;;;;
BASE;RW;ELC;.NRG.;ELCOIL;Oil (ELC);PJ;NRG;;;;
BASE;RW;ELC;.NRG.;ELCPEL;Wood Pellets (ELC);PJ;NRG;;;;
BASE;RW;ELC;.ENV.;ELCPM2;PM2 polluant (ELC);kt;ENV;;;;
BASE;RW;ELC;.NRG.;ELCRFG;Refinery Gas (ELC);PJ;NRG;;;;
BASE;RW;ELC;.NRG.;ELCSLU;Wastes Renewable (ELC);PJ;NRG;;;;
BASE;RW;ELC;.NRG.;ELCSOL;Solar (ELC);PJ;NRG;;;;
BASE;RW;ELC;.ENV.;ELCSOX;SOX polluant (ELC);kt;ENV;;;;
BASE;RW;ELC;.NRG.;ELCTID;Tidal Energy (ELC);PJ;NRG;;;;
BASE;RW;ELC;.NRG.;ELCWIN;Wind (ELC);PJ;NRG;;;;
BASE;RW;ELC;.NRG.;ELCWST;Wastes Non-Renewable (ELC);PJ;NRG;;;;
BASE;RW;ELC;.ENV.;SNKELCCO2;Sinked CO2 from ELC;kt;ENV;;;;
BASE;RW;IND;.NRG.;BIOPEL;Prod pellets ind;PJ;NRG;;;;
BASE;RW;IND;.ENV.;ETSICO2N;ETS industrial CO2;kt;ENV;;;;
BASE;RW;IND;.ENV.;ETSINO2N;ETS industrial NO2;kt;ENV;;;;
BASE;RW;IND;.DEM.;IAM;Ammonia Demand;Mt;DEM;;;;
BASE;RW;IND;.NRG.;IAMHTH;High Temperature Heat for IAM (IND);PJ;NRG;;;;
BASE;RW;IND;.DEM.;IBK;Bricks Demand;Mt;DEM;;;;
BASE;RW;IND;.DEM.;IBO;Bois demand;Mt;DEM;;;;
BASE;RW;IND;.NRG.;IBOHTH;High Temperature Heat for IBO (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;ICBHTH;High Temperature Heat for ICB (IND);PJ;NRG;;;;
BASE;RW;IND;.DEM.;ICE;Ceramics Demand;Mt;DEM;;;;
BASE;RW;IND;.DEM.;ICH;Other Chemicals Demand;PJ;DEM;;;;
BASE;RW;IND;.NRG.;ICHELE;Other Chemicals.Electro-Chemicals.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;ICHHTH;Other Chemicals.Steam.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;ICHHTH;High Temperature Heat for ICH (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;ICHMCH;Other Chemicals.Machine Drive.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;ICHOTH;Other Chemicals.Other Processes.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;ICHPRC;Other Chemicals.Process Heat.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;ICLHTH;High Temperature Heat for ICL (IND);PJ;NRG;;;;
BASE;RW;IND;.DEM.;ICM;Cement Demand;Mt;DEM;;;;
BASE;RW;IND;.NRG.;ICMHTH;High Temperature Heat for ICM (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;ICMPRC;Cement.Process Heat.;PJ;NRG;;;;
BASE;RW;IND;.DEM.;IGF;Glass Flat Demand;Mt;DEM;;;;
BASE;RW;IND;.NRG.;IGFHTH;High Temperature Heat for IGF (IND);PJ;NRG;;;;
BASE;RW;IND;.DEM.;IGH;Glass Hollow Demand;Mt;DEM;;;;
BASE;RW;IND;.NRG.;IGHHTH;High Temperature Heat for IGH (IND);PJ;NRG;;;;
BASE;RW;IND;.DEM.;IGO;Glass Other Demand;Mt;DEM;;;;
BASE;RW;IND;.DEM.;IIS;Iron and Steel Demand;Mt;DEM;;;;
BASE;RW;IND;.NRG.;IISHTH;High Temperature Heat for IIS (IND);PJ;NRG;;;;
BASE;RW;IND;.DEM.;ILM;Lime Demand;Mt;DEM;;;;
BASE;RW;IND;.NRG.;ILMHTH;High Temperature Heat for ILM (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;ILMPRC;Lime.Process Heat.;PJ;NRG;;;;
BASE;RW;IND;.DEM.;IML;Milk demand;Mt;DEM;;;;
BASE;RW;IND;.NRG.;IMLHTH;High Temperature Heat for IML (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDBFG;Blast Furnace Gas (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDBGS;Biogas (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDBIO;Biofuel (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDBLQ;Black liquor (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDBLQ;Paper: Black Liquor;PJ;NRG;;;;
BASE;RW;IND;.ENV.;INDCH4;CH4 (IND);kt;ENV;;;;
BASE;RW;IND;.ENV.;INDCO2b;CO2 biomasse (IND);kt;ENV;;;;
BASE;RW;IND;.ENV.;INDCO2c;Carbon Dioxide - Capture (IND);kt;ENV;;;;
BASE;RW;IND;.ENV.;INDCO2N;CO2 fossile (IND);kt;ENV;;;;
BASE;RW;IND;.ENV.;INDCO2N;Carbon Dioxide - Combustion (IND);kt;ENV;;;;
BASE;RW;IND;.ENV.;INDCO2P;Carbon Dioxide - Process (IND);kt;ENV;;;;
BASE;RW;IND;.NRG.;INDCOA;Hard Coal (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDCOG;Coke Oven Gas (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDCOK;Coke (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDCOL;Lignite (IND);PJ;NRG;;;;
BASE;RW;IND;.ENV.;INDCOV;COV polluant (IND);kt;ENV;;;;
BASE;RW;IND;.ENV.;INDCOVn;COV polluant (IND);kt;ENV;;;;
BASE;RW;IND;.ENV.;INDCOVp;COV polluant (IND);kt;ENV;;;;
BASE;RW;IND;.NRG.;INDCPS;Chips de bois (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDELC;Electricity (IND);PJ;NRG;ELC;;DAYNITE;
BASE;RW;IND;.NRG.;INDGAS;Natural Gas (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDGEO;Geothermal (IND);PJ;NRG;;;;
BASE;RW;IND;.ENV.;INDGHG;GES total (IND);kt;ENV;;;;
BASE;RW;IND;.ENV.;INDGHGb;GES biomasse total (IND);kt;ENV;;;;
BASE;RW;IND;.NRG.;INDGMX;gas mix reseau (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDGZH;Biogaz épuré (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDHET;High Temperature Heat distribuée for IND;PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDHFO;Heavy Fuel Oil (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDHH2;Hydrogen (IND);PJ;NRG;;;DAYNITE;
BASE;RW;IND;.NRG.;INDHTH;High Temperature Heat for IND;PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDHWT;Chaleur fatale (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDHYD;Hydro (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDLFO;Light Fuel Oil (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDLPG;Liquified Petroleum Gas (IND);PJ;NRG;;;;
BASE;RW;IND;.ENV.;INDN2O;N2O (IND);kt;ENV;;;;
BASE;RW;IND;.ENV.;INDNH3;NH3 polluant (IND);kt;ENV;;;;
BASE;RW;IND;.ENV.;INDNH3n;NH3 polluant (IND);kt;ENV;;;;
BASE;RW;IND;.ENV.;INDNH3p;NH3 polluant (IND);kt;ENV;;;;
BASE;RW;IND;.ENV.;INDNOX;NOX polluant (IND);kt;ENV;;;;
BASE;RW;IND;.ENV.;INDNOXn;NOX polluant (IND);kt;ENV;;;;
BASE;RW;IND;.ENV.;INDNOXp;NOX polluant (IND);kt;ENV;;;;
BASE;RW;IND;.NRG.;INDPEL;Pellets de bois (IND);PJ;NRG;;;;
BASE;RW;IND;.ENV.;INDPM2;PM2 polluant (IND);kt;ENV;;;;
BASE;RW;IND;.ENV.;INDPM2n;PM2 polluant (IND);kt;ENV;;;;
BASE;RW;IND;.ENV.;INDPM2p;PM2 polluant (IND);kt;ENV;;;;
BASE;RW;IND;.NRG.;INDRFG;Refinary Gas (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDSLU;Waste Renewable (IND);kt;NRG;;;;
BASE;RW;IND;.NRG.;INDSLU;biomasse dechet methanisable ind et municipal (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDSOL;Solar (IND);PJ;NRG;;;;
BASE;RW;IND;.ENV.;INDSOX;SOX polluant (IND);kt;ENV;;;;
BASE;RW;IND;.ENV.;INDSOXn;SOX polluant (IND);kt;ENV;;;;
BASE;RW;IND;.ENV.;INDSOXp;SOX polluant (IND);kt;ENV;;;;
BASE;RW;IND;.NRG.;INDWIN;Wind (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INDWST;Waste Non-Renewable (IND);kt;NRG;;;;
BASE;RW;IND;.NRG.;INDWST;Industrial(no-ren)  (IND);PJ;NRG;;;;
BASE;RW;IND;.DEM.;INF;Other Non Ferrous Metals Demand;PJ;DEM;;;;
BASE;RW;IND;.NRG.;INFELE;Other Non Ferrous Metals.Electro-Chemicals.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;INFHTH;High Temperature Heat for INF (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INFHTH;High Temperature Heat for INA (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INFMCH;Other Non Ferrous Metals.Machine Drive.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;INFOTH;Other Non Ferrous Metals.Other Processes.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;INFPRC;Other Non Ferrous Metals.Process Heat.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;INFSTM;Other Non Ferrous Metals.Steam.;PJ;NRG;;;;
BASE;RW;IND;.DEM.;INM;Other Non Metallic Minerals Demand;PJ;DEM;;;;
BASE;RW;IND;.NRG.;INMELE;Other Non Metallic Minerals.Electro-Chemicals.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;INMHTH;High Temperature Heat for INM (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;INMMCH;Other Non Metallic Minerals.Machine Drive.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;INMOTH;Other Non Metallic Minerals.Other Processes.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;INMPRC;Other Non Metallic Minerals.Process Heat.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;INMSTM;Other Non Metallic Minerals.Steam.;PJ;NRG;;;;
BASE;RW;IND;.DEM.;IOF;Other food demand;PJ;DEM;;;;
BASE;RW;IND;.NRG.;IOFELE;Other Food.Electro-Chemicals.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;IOFFRO;Other Food.Other Processes.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;IOFHTH;Other Food.Steam.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;IOFHTH;High Temperature Heat for IOF (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;IOFMCH;Other Food.Machine Drive.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;IOFOTH;Other Food.Cold Processes.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;IOFPRC;Other Food.Process Heat.;PJ;NRG;;;;
BASE;RW;IND;.DEM.;IOI;Other Industries;PJ;DEM;;;;
BASE;RW;IND;.NRG.;IOIELE;Other Industries.Electro-Chemicals.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;IOIHTH;Other Industries.Steam.;PJ;NRG;;;;
